Source,Speaker,Mic,SignalType,Band,EDT,RT20,RT30,RT60,C50,C80,D50,D80
omnipower,1,2,Sine,12500,4.29384584741963,3.42835509511403,3.18727190654307,3.18727190654307,-9.77584127057886,-7.44530588180234,9.52657725292082,15.2600993868035
omnipower,1,2,Sine,16000,4.07825958779139,0.861978319665226,0.722894677378529,0.722894677378529,-10.407589619675,-8.11345796618138,8.34448679133943,13.3750976498888
omnipower,1,2,Sine,20000,1.22237692156207,1.3369270602367,1.87258024265079,1.87258024265079,-1.88975212186262,0.95600936775291,39.290164324265,55.4811169880213
omnipower,1,2,WhiteNoise,125,5.22866185113499,2.99983979827976,2.57609572477407,2.57609572477407,3.45664736572737,3.65811707916229,68.910158287761,69.8952049577916
omnipower,1,2,WhiteNoise,250,4.52960103530994,1.80589939804833,1.59839082821375,1.59839082821375,-4.62566265596493,-3.57965926357208,25.6336390469574,30.4862882858924
omnipower,1,2,WhiteNoise,500,4.12432985650084,1.54647571931315,1.36647678810134,1.36647678810134,-9.56128283802004,-7.6475168701506,9.96098841562149,14.6676926740493
omnipower,1,2,WhiteNoise,1000,3.97319352380387,1.34290234464555,1.23093405895507,1.23093405895507,-10.7804563663051,-9.16444229734599,7.71089513676496,10.8110265868965
omnipower,1,2,WhiteNoise,2000,4.42156892924265,0.960518043555153,0.921544657603137,0.921544657603137,-10.4496364493129,-8.74264773911545,8.27073784321884,11.7837571408542
omnipower,1,2,WhiteNoise,4000,4.61533370320656,0.92917680166115,0.880676058853366,0.880676058853366,-11.7568908490046,-9.19063446592962,6.25542821569594,10.7530118001482
omnipower,1,2,WhiteNoise,8000,4.27880004835281,1.24415686391096,1.16339244414081,1.16339244414081,-10.9249027273241,-8.7698621972469,7.47751058806134,11.7187729804999
omnipower,1,3,Sine,50,16.4523381926371,3.87758789674315,3.47665334638467,3.47665334638467,-15.8982689875808,-14.2968444421387,2.50695611287658,3.58476921186896
omnipower,1,3,Sine,63,3.71332842980982,1.30076343686012,1.11514979588411,1.11514979588411,-7.12702494890546,-5.37014355324398,16.2321132649992,22.5042093057381
omnipower,1,3,Sine,80,8.4955424990269,3.90147953415918,3.84360477112466,3.84360477112466,-11.6158065924236,-9.60501583221883,6.44865824409456,9.87103722946928
omnipower,1,3,Sine,100,9.62933791656966,6.57732696940102,6.13185356373462,6.13185356373462,-0.933837452164948,0.545072506663279,44.6450160803816,53.1335772681429
omnipower,1,3,Sine,125,3.22430788761552,10.4334185480499,8.56053306748195,8.56053306748195,-8.70398478961853,-7.00209791010948,11.8766153289234,16.6270555764024
omnipower,1,3,Sine,160,2.95179134335796,3.08311568476655,8.73323626975945,8.73323626975945,-8.11456432931757,-6.07046352189176,13.3721463551473,19.8169282706492
omnipower,1,3,Sine,200,4.10187976397329,15.5307078778521,13.6857687762361,13.6857687762361,-7.08216726640353,-5.75008203019759,16.3730482026178,21.0152685008208
omnipower,1,3,Sine,250,0.796167220639092,17.2945612018286,14.7926892577432,14.7926892577432,7.70963565535631,9.04878443867376,85.5104292155947,88.9294961372726
omnipower,1,3,Sine,315,2.96636350495394,19.5881681258897,16.7094263206919,16.7094263206919,-6.36049614076136,-4.15436999718532,18.7771125834706,27.756365006722
omnipower,1,3,Sine,400,0.997673817145613,20.8232485510474,18.3046817000935,18.3046817000935,3.18710795584175,4.87698325021677,67.5651471803922,75.453862985502
omnipower,1,3,Sine,500,0.452581754748985,33.3471174250035,24.3802976391304,24.3802976391304,3.54024986332746,11.082565641355,69.3210669256112,92.7698039325929
