Source,Speaker,SignalType,Band,GroupCount,mean_EDT,median_EDT,min_EDT,max_EDT,mean_RT20,median_RT20,min_RT20,max_RT20,mean_RT30,median_RT30,min_RT30,max_RT30,mean_RT60,median_RT60,min_RT60,max_RT60,mean_C50,median_C50,min_C50,max_C50,mean_C80,median_C80,min_C80,max_C80,mean_D50,median_D50,min_D50,max_D50,mean_D80,median_D80,min_D80,max_D80
omnipower,1,WhiteNoise,2000,8,5.16013165149347,5.40378175276965,1.3153919920698,8.05889450414558,1.23253406910671,1.27797235705338,0.279244168601086,1.83618996295977,1.16326189566566,1.20495774397727,0.241021493871869,1.77280421042154,1.16326189566566,1.20495774397727,0.241021493871869,1.77280421042154,-11.4124959130339,-11.5251985361313,-14.9233805048176,-5.47035309580164,-8.99355208233533,-9.45495519303157,-12.3743628689407,-2.16718632654268,7.96784502074051,6.61111881874489,3.11820126201288,22.1043558470244,13.1840419685037,10.2806734396738,5.47173909540537,37.777262363896
omnipower,1,WhiteNoise,4000,8,5.12750843834763,5.4310900696147,1.27448202306188,7.957501163276,1.2767626358022,1.25595325741478,0.283516406093419,1.98958845580801,1.20148788845998,1.19160406429947,0.272653794236018,1.84364513675317,1.20148788845998,1.19160406429947,0.272653794236018,1.84364513675317,-11.5693189722377,-12.4234946913505,-14.164509577408,-5.74029062236431,-9.04260168669057,-10.0513704615034,-11.7977077857081,-2.48802559525145,7.6261224768904,5.46734603203222,3.69158831635843,21.0527159834708,12.8780605933137,9.12546630194464,6.20054061735465,36.057045586595
omnipower,1,WhiteNoise,8000,8,5.00548795247824,5.21083239656367,1.27073073515542,7.68522410314105,1.28393724737781,1.39604216886605,0.327379147571489,1.95000611157903,1.21676027370269,1.312216501648,0.318266214451404,1.85613982894058,1.21676027370269,1.312216501648,0.318266214451404,1.85613982894058,-10.9473854009164,-11.6027647723163,-13.9934773027879,-5.04460909234084,-8.64882051790692,-9.52766013612832,-11.6120303087965,-2.19435249965846,8.79729356968614,6.53098295758763,3.83418434182505,23.8383183577719,13.9276072183327,10.1404377521354,6.4539058854082,37.6303391510214
omnipower,2,Sine,50,8,7.46407520152437,6.09797633289051,5.57389417919275,17.6161799643577,2.54894590140709,2.0265082105929,1.56781672387994,4.87791687499101,2.42208749189549,1.90670918616239,1.4690849843545,4.65672778864286,2.42208749189549,1.90670918616239,1.4690849843545,4.65672778864286,-6.52988375141646,-6.57460840885551,-15.3463372722678,-0.102437455904682,-5.27358376293629,-5.38691198221542,-14.3665021414303,0.561049129173198,21.9052996210723,18.0386751121381,2.83704984155669,49.4103499401252,26.4873645026208,22.4369569332452,3.52974406419481,53.2251742098701
omnipower,2,Sine,63,8,8.50212519269557,8.86158754054097,6.2306089019041,10.0257591994573,4.65008481478762,4.31394135812721,3.14759655720764,6.54326026434553,4.19638428111488,4.02124376235152,2.77372073688247,5.933207610567,4.19638428111488,4.02124376235152,2.77372073688247,5.933207610567,-1.08671730416838,-2.50505738574014,-3.72976497229024,4.85469208506965,0.300671838158548,-1.36100847225941,-2.65354674702236,6.15631651887368,43.7768096035302,35.96667633057,29.7588005086821,75.3586754891946,50.8252857743268,42.2296829400712,35.1830726304417,80.4953145848986
omnipower,2,Sine,80,8,11.4662435450107,13.3010866058009,3.99338872833896,15.8563587114458,8.44480837382848,8.26549828647941,7.3396503149904,9.52065584986864,7.77940592314136,7.59444985388719,7.22911463757733,8.7296867913132,7.77940592314136,7.59444985388719,7.22911463757733,8.7296867913132,-6.44354181602969,-5.72452765752845,-9.67419114703682,-3.81713137103876,-5.11145442308539,-4.77134470092143,-8.12437859847759,-2.99729839686141,19.3384773611754,21.1131114712008,9.7302323280553,29.3400184495243,24.2858046844648,24.9998180664682,13.3459902655151,33.3998936001562
omnipower,2,Sine,100,8,15.5020126679846,15.9874915421846,11.1708727963947,16.6405724870619,9.17890707199624,8.74976252811051,7.42023574130046,11.6291837146588,8.68234639878147,8.31570625314824,7.02739819228937,10.754883216421,8.68234639878147,8.31570625314824,7.02739819228937,10.754883216421,-0.542990015124879,-1.39549408197192,-3.07959823591798,3.43635123728719,1.06073785388845,0.55407309909913,-1.36408614509311,5.09464914890024,46.8705619108703,42.0354868776477,32.9796920177627,68.809947648804,55.5864562492198,53.1848234564108,42.2116135721223,76.3702429145406
omnipower,2,Sine,125,8,6.87040075579923,3.15315585538751,0.634941338817122,20.325316114229,11.1066674336162,12.7416512076596,0.730934984288521,15.9444152641243,11.8460680287183,11.5487245465606,11.0072075947787,13.4467182011304,11.8460680287183,11.5487245465606,11.0072075947787,13.4467182011304,-4.03330683858816,-6.34317483656631,-9.56742680050207,4.87813859552872,-1.92199000095651,-4.64736847723262,-7.73023120737761,7.31061700548838,32.2787400034634,19.1521956755839,9.94830747711189,75.4587897603858,40.6246994497065,25.8049782822286,14.4309121189145,84.3345209000707
omnipower,2,Sine,160,8,4.87091153799414,3.09128721031356,1.18932058106602,18.4535145666005,11.6123400137645,15.6363501731356,0.515663828348771,16.8509659315219,13.6010272867593,13.9411420891025,11.3141690017318,14.4873219763745,13.6010272867593,13.9411420891025,11.3141690017318,14.4873219763745,-6.84515590270798,-8.62742923738387,-11.6781780346598,4.51731341109526,-4.56955965326409,-6.51684166838569,-8.39505646991227,5.54788063569428,20.8676825758504,12.0624964145899,6.36255777075461,73.8878919108682,28.1412452521435,18.2373971276922,12.6415231990426,78.2014839092455
omnipower,2,Sine,200,8,1.68067277709775,1.14205046162091,0.476177909704968,3.23232339695615,15.7676202315207,17.6795284213506,2.69160338274593,19.2677943553518,14.9481953968088,15.3829251982622,12.0991015292577,15.6943054411151,14.9481953968088,15.3829251982622,12.0991015292577,15.6943054411151,-1.171867377908,0.301620505424994,-8.69427761844404,7.65695174436178,1.4807615697917,3.89239268932942,-7.43432966505655,8.98001442557565,45.8124612588881,51.7175886191693,11.9000286102421,85.3594775797374,56.7096587757784,71.0159233617253,15.292810469903,88.7726389756501
