Method;Speaker;Microphone;Frequency in Hz;EDT in s;RT10 in s;RT20 in s;RT30 in s;RT60 in s;C50 in dB;C80 in dB;D50;D80
MLS;1;5;50;NaN;NaN;NaN;NaN;NaN;-6.544812462;-5.073431576;0.181384003;0.237180354
MLS;1;5;63;NaN;3.186228435;NaN;NaN;NaN;1.317658626;3.732641879;0.57527398;0.702550444
MLS;1;5;80;NaN;2.703384653;NaN;NaN;NaN;3.573596845;3.887868183;0.69484121;0.709965137
MLS;1;5;100;2.824225373;NaN;NaN;NaN;NaN;-12.98539015;-12.27614729;0.047879846;0.055898962
MLS;1;5;125;NaN;NaN;NaN;NaN;NaN;-3.694958759;-1.835938768;0.299265969;0.395861153
MLS;1;5;160;NaN;0.117928319;NaN;NaN;NaN;7.036355237;10.07916827;0.834820045;0.910586259
MLS;1;5;200;NaN;0.117012316;NaN;NaN;NaN;9.275736698;11.70212803;0.894336001;0.936702183
MLS;1;5;250;NaN;NaN;NaN;NaN;NaN;2.145862676;9.483373048;0.62107255;0.898769576
MLS;1;5;315;0.087908061;0.062269191;NaN;NaN;NaN;3.27806024;8.587616577;0.680223969;0.878400715
MLS;1;5;400;0.087789215;0.089798687;NaN;NaN;NaN;4.330283577;7.58050263;0.730484998;0.851381188
MLS;1;5;500;0.0885991;NaN;NaN;NaN;NaN;3.909589052;9.868161948;0.710993919;0.906550729
MLS;1;5;630;0.137857597;0.130441293;NaN;NaN;NaN;3.671531965;5.63743649;0.699601609;0.785509604
MLS;1;5;800;0.135748184;0.086992055;0.212722584;NaN;0.638167752;2.485228546;5.100299404;0.63928104;0.763937132
MLS;1;5;1000;0.100813822;0.114696189;0.233428411;NaN;0.700285232;2.622638605;7.73698096;0.646544596;0.85588269
MLS;1;5;1250;0.100606002;0.101934854;0.238434213;NaN;0.715302638;3.424876904;6.628546658;0.687532159;0.821461275
MLS;1;5;1600;0.09697931;0.098532624;0.248648412;NaN;0.745945236;3.135876631;7.702592268;0.673060983;0.854903234
