Method;Speaker;Microphone;Frequency in Hz;EDT in s;RT10 in s;RT20 in s;RT30 in s;RT60 in s;C50 in dB;C80 in dB;D50;D80
Sweep;1;5;63;NaN;NaN;NaN;NaN;NaN;0.944409203;3.873543455;0.554151339;0.70928548
Sweep;1;5;80;NaN;NaN;NaN;NaN;NaN;6.558712374;7.713549806;0.819090746;0.855215924
Sweep;1;5;100;5.573480112;NaN;NaN;NaN;NaN;-1.353086974;0.002027742;0.422734058;0.500116726
Sweep;1;5;125;NaN;NaN;NaN;NaN;NaN;1.273534629;3.130574437;0.572789688;0.672792273
Sweep;1;5;160;NaN;0.10828428;0.265930253;NaN;0.797790758;6.734881335;9.989720627;0.825024012;0.908895107
Sweep;1;5;200;NaN;0.113390087;NaN;NaN;NaN;9.120853136;11.40171537;0.89091815;0.932474845
Sweep;1;5;250;0.075574783;NaN;0.21801767;NaN;0.654053011;3.226328619;10.04701087;0.677627413;0.909981556
Sweep;1;5;315;0.08607323;0.059821407;0.144314248;NaN;0.432942745;3.748154833;9.098776021;0.703296354;0.890423144
Sweep;1;5;400;0.094397787;NaN;NaN;NaN;NaN;3.772431424;7.169605993;0.704461473;0.839007625
Sweep;1;5;500;NaN;NaN;0.243871711;NaN;0.731615132;3.113074952;10.15996397;0.671904611;0.912089443
Sweep;1;5;630;0.112145118;0.121419606;NaN;NaN;NaN;3.161860982;6.654032006;0.674376202;0.8223203
Sweep;1;5;800;0.121045596;0.100019714;0.219800945;NaN;0.659402835;3.567401627;6.027997341;0.694538655;0.800272392
Sweep;1;5;1000;0.084508151;0.102565825;0.194188502;0.355451161;0.710902322;3.832074299;8.466674641;0.70731263;0.875394717
Sweep;1;5;1250;0.117242171;0.107045298;0.229576223;0.394560317;0.789120634;3.324800187;5.769393178;0.682560417;0.790584441
Sweep;1;5;1600;0.099006513;0.084998836;0.209334762;0.35395568;0.70791136;1.976269451;6.94303064;0.611839922;0.831835479
Sweep;1;5;2000;0.108886533;0.096320344;0.221665795;NaN;0.664997386;2.046840617;6.367736287;0.615691987;0.812482997
Sweep;1;5;2500;0.108591976;0.107013375;0.228785997;0.368140962;0.736281924;3.634978606;6.930712481;0.697829791;0.83143834
Sweep;1;5;3150;0.110724062;0.112070581;0.235012412;0.374090276;0.748180552;2.611176098;6.174830397;0.645941209;0.805621579
Sweep;1;5;4000;0.103126257;0.119824108;0.229741398;0.367766515;0.735533031;2.465803799;6.902688243;0.638248988;0.830532051
Sweep;1;5;5000;0.099763076;0.108042895;0.221239107;0.428296226;0.856592451;2.999542676;7.138350397;0.666116005;0.838033143
Sweep;1;5;6300;0.091910428;0.099077342;0.193318514;0.362037471;0.724074941;4.268313522;7.763824723;0.727666517;0.856643426
Sweep;1;5;8000;0.077037486;0.08320884;0.173176087;0.287622541;0.575245081;5.548625828;9.815463936;0.782044088;0.905517682
Sweep;1;5;10000;0.067903006;0.068095234;0.150732498;NaN;0.452197494;6.808540076;11.69214995;0.827458946;0.936565823
